New Natural Gas  Account,Account 1,,
Utility Company,Vectren,,
Account #,02-621021472-5263368 2,,
Rate Code,None,,
Meter # 1,N0759335,,
,,,
Natural Gas Bills,,,
Year,2016,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2016,1/31/2016,0,0
2/1/2016,2/28/2016,0,0
3/1/2016,3/31/2016,0,0
4/1/2016,4/30/2016,0,0
5/1/2016,5/31/2016,0,0
6/1/2016,6/30/2016,0,0
7/1/2016,7/31/2016,0,0
8/1/2016,8/31/2016,0,0
9/1/2016,9/30/2016,0,0
10/1/2016,10/31/2016,0,0
11/1/2016,11/30/2016,0,0
12/1/2016,12/31/2016,0,0
,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2015,1/31/2015,1833,1941.61
2/1/2015,2/28/2015,1681,1837.39
3/1/2015,3/31/2015,1947,2057.55
4/1/2015,4/30/2015,1801,1909.66
5/1/2015,5/31/2015,1551,1694.71
6/1/2015,6/30/2015,1471,1625.26
7/1/2015,7/31/2015,1178,1396.68
8/1/2015,8/31/2015,1046,1306.12
9/1/2015,9/30/2015,1028,1290.08
10/1/2015,10/31/2015,0,0
11/1/2015,11/30/2015,0,0
12/1/2015,12/31/2015,0,0
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2014,1/31/2014,1658,1780.05
2/1/2014,2/28/2014,1753,1862.46
3/1/2014,3/31/2014,1965,2037.21
4/1/2014,4/30/2014,2260,2277.54
5/1/2014,5/31/2014,2021,2076.83
6/1/2014,6/30/2014,1861,1943.03
7/1/2014,7/31/2014,2149,2172
8/1/2014,8/31/2014,1720,1825.23
9/1/2014,9/30/2014,1902,1968.66
10/1/2014,10/31/2014,1970,2019.6
11/1/2014,11/30/2014,1387,1553.06
12/1/2014,12/31/2014,1603,1730.59
,,,
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2013,1/31/2013,0,0
2/1/2013,2/28/2013,0,0
3/1/2013,3/31/2013,0,0
4/1/2013,4/30/2013,0,0
5/1/2013,5/31/2013,0,0
6/1/2013,6/30/2013,0,0
7/1/2013,7/31/2013,0,0
8/1/2013,8/31/2013,0,0
9/1/2013,9/30/2013,0,0
10/1/2013,10/31/2013,0,0
11/1/2013,11/30/2013,0,0
12/1/2013,12/31/2013,1642,1765.41
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2012,1/31/2012,0,0
2/1/2012,2/28/2012,0,0
3/1/2012,3/31/2012,0,0
4/1/2012,4/30/2012,0,0
5/1/2012,5/31/2012,0,0
6/1/2012,6/30/2012,0,0
7/1/2012,7/31/2012,0,0
8/1/2012,8/31/2012,0,0
9/1/2012,9/30/2012,0,0
10/1/2012,10/31/2012,0,0
11/1/2012,11/30/2012,0,0
12/1/2012,12/31/2012,0,0
