New Electric  Account,Account 1,,,
Utility Company,Consumers Energy,,,
Account #,100000206431,,,
Rate Code,GSD Com-1120,,,
Meter # 1,8626291,,,
,,,,
Electric Bills,,,,
Year,2016,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2016,1/31/2016,0,0,0
2/1/2016,2/28/2016,0,0,0
3/1/2016,3/31/2016,0,0,0
4/1/2016,4/30/2016,0,0,0
5/1/2016,5/31/2016,0,0,0
6/1/2016,6/30/2016,0,0,0
7/1/2016,7/31/2016,0,0,0
8/1/2016,8/31/2016,0,0,0
9/1/2016,9/30/2016,0,0,0
10/1/2016,10/31/2016,0,0,0
11/1/2016,11/30/2016,0,0,0
12/1/2016,12/31/2016,0,0,0
,,,,
Year,2015,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2015,1/31/2015,13280,40,1778.99
2/1/2015,2/28/2015,12320,40,1656.68
3/1/2015,3/31/2015,10640,40,1490.8
4/1/2015,4/30/2015,12240,40,1645.88
5/1/2015,5/31/2015,12400,52,1770.32
6/1/2015,6/30/2015,13200,52,2138.69
7/1/2015,7/31/2015,14400,57,2369.4
8/1/2015,8/31/2015,15840,62,2576.42
9/1/2015,9/30/2015,0,0,0
10/1/2015,10/31/2015,0,0,0
11/1/2015,11/30/2015,0,0,0
12/1/2015,12/31/2015,0,0,0
,,,,
Year,2014,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2014,1/31/2014,13360,43,1812.52
2/1/2014,2/28/2014,13360,43,1813.09
3/1/2014,3/31/2014,12640,44,1765.28
4/1/2014,4/30/2014,11760,46,1697.49
5/1/2014,5/31/2014,13440,51,1911.05
6/1/2014,6/30/2014,13200,60,2226.5
7/1/2014,7/31/2014,17680,67,2878.38
8/1/2014,8/31/2014,15760,64,2614
9/1/2014,9/30/2014,12240,64,2216.95
10/1/2014,10/31/2014,13760,57,2053.5
11/1/2014,11/30/2014,12160,44,1765.33
12/1/2014,12/31/2014,11600,42,1664.48
,,,,
Year,2013,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2013,1/31/2013,0,0,0
2/1/2013,2/28/2013,0,0,0
3/1/2013,3/31/2013,0,0,0
4/1/2013,4/30/2013,0,0,0
5/1/2013,5/31/2013,0,0,0
6/1/2013,6/30/2013,0,0,0
7/1/2013,7/31/2013,0,0,0
8/1/2013,8/31/2013,0,0,0
9/1/2013,9/30/2013,0,0,0
10/1/2013,10/31/2013,0,0,0
11/1/2013,11/30/2013,0,0,0
12/1/2013,12/31/2013,11520,41,1588.4
,,,,
Year,2012,,,
From,To ,Consumption,Demand ,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,kWh,kW,$
1/1/2012,1/31/2012,0,0,0
2/1/2012,2/28/2012,0,0,0
3/1/2012,3/31/2012,0,0,0
4/1/2012,4/30/2012,0,0,0
5/1/2012,5/31/2012,0,0,0
6/1/2012,6/30/2012,0,0,0
7/1/2012,7/31/2012,0,0,0
8/1/2012,8/31/2012,0,0,0
9/1/2012,9/30/2012,0,0,0
10/1/2012,10/31/2012,0,0,0
11/1/2012,11/30/2012,0,0,0
12/1/2012,12/31/2012,0,0,0
