New Natural Gas  Account,Account 2,,
Utility Company,Detroit Edison,,
Account #,4577095,,
Rate Code,Gas Commercial Heating,,
Meter # 1,8371063,,
,,,
Natural Gas Bills,,,
Year,2016,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2016,1/31/2016,49.35,3485.49
2/1/2016,2/28/2016,31.01,2202.22
3/1/2016,3/31/2016,0,0
4/1/2016,4/30/2016,0,0
5/1/2016,5/31/2016,0,0
6/1/2016,6/30/2016,0,0
7/1/2016,7/31/2016,0,0
8/1/2016,8/31/2016,0,0
9/1/2016,9/30/2016,0,0
10/1/2016,10/31/2016,0,0
11/1/2016,11/30/2016,0,0
12/1/2016,12/31/2016,0,0
,,,
Year,2015,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2015,1/31/2015,113.41,8609.99
2/1/2015,2/28/2015,0,0
3/1/2015,3/31/2015,19.1,1444.66
4/1/2015,4/30/2015,3.68,303.12
5/1/2015,5/31/2015,0.3,85.14
6/1/2015,6/30/2015,0,0
7/1/2015,7/31/2015,0.014,42.75
8/1/2015,8/31/2015,0.014,42.75
9/1/2015,9/30/2015,0.097,103.74
10/1/2015,10/31/2015,3.3,276
11/1/2015,11/30/2015,19.72,1489.98
12/1/2015,12/31/2015,36.08,2556.97
,,,
Year,2014,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2014,1/31/2014,13.08,1052.73
2/1/2014,2/28/2014,10.6,865.27
3/1/2014,3/31/2014,11.25,871.51
4/1/2014,4/30/2014,5.56,445.13
5/1/2014,5/31/2014,1.53,144.11
6/1/2014,6/30/2014,0.53,70.99
7/1/2014,7/31/2014,0.48,70.81
8/1/2014,8/31/2014,0.51,74.21
9/1/2014,9/30/2014,2.99,285.36
10/1/2014,10/31/2014,3.73,341.26
11/1/2014,11/30/2014,54.12,4539.23
12/1/2014,12/31/2014,36.42,3068.98
,,,
Year,2013,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2013,1/31/2013,18.85,1522.37
2/1/2013,2/28/2013,16.43,1330.49
3/1/2013,3/31/2013,15.12,1240.99
4/1/2013,4/30/2013,7.49,632.35
5/1/2013,5/31/2013,0.66,81.69
6/1/2013,6/30/2013,0.48,67.18
7/1/2013,7/31/2013,0.39,58.72
8/1/2013,8/31/2013,0.41,60.56
9/1/2013,9/30/2013,3.29,285.43
10/1/2013,10/31/2013,5.39,426.05
11/1/2013,11/30/2013,8.07,660.01
12/1/2013,12/31/2013,12.19,979.16
,,,
Year,2012,,
From,To ,Consumption,Total Cost
Date (mm/dd/yy,Date (mm/dd/yy,Therms,$
1/1/2012,1/31/2012,0,0
2/1/2012,2/28/2012,0,0
3/1/2012,3/31/2012,0,0
4/1/2012,4/30/2012,0,0
5/1/2012,5/31/2012,0,0
6/1/2012,6/30/2012,0,0
7/1/2012,7/31/2012,0,0
8/1/2012,8/31/2012,0,0
9/1/2012,9/30/2012,0,0
10/1/2012,10/31/2012,0,0
11/1/2012,11/30/2012,14.11,1226.76
12/1/2012,12/31/2012,18.65,1530.82
